video;prompt;original_video
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-4__12569533_resize1080p/12569533_resize1080p_canny_lc_Rocky_Craggy_Mountain.mp4;Replace the mountain with a rugged, rocky craggy mountain, ensuring it maintains the mountain's exact position and pose within the scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-4__12569533_resize1080p/12569533_resize1080p.mp4_slice639-760.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_96__-2HzxbaTI7w_0_0to1537/-2HzxbaTI7w_0_0to1537.mp4_slice606-735.mp4;Replace the floral spring theme snowboard with a plain light wood finish snowboard, ensuring the same position and pose are maintained.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_96__-2HzxbaTI7w_0_0to1537/-2HzxbaTI7w_0_0to1537_canny_lc_Floral_Spring_Theme.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_15__Oxe0CunW2cE_60_67to244/Oxe0CunW2cE_60_67to244.mp4_slice80-153.mp4;Replace the elderly gentleman with a youthful man having dark brown hair, dressed in the navy blue jacket with white stripes and gray t-shirt, appearing in the same pose and position.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_15__Oxe0CunW2cE_60_67to244/Oxe0CunW2cE_60_67to244_canny_lc_Transform_into_an_Elderly_Gentleman.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-65__19317999_resize1080p/19317999_resize1080p.mp4_slice79-180.mp4;Replace the matte black rear half of the car with a highly reflective chrome finish version, ensuring it appears in the same position and pose within the video scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-65__19317999_resize1080p/19317999_resize1080p_canny_lc_Chrome_to_Matte_Black_Transformation.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-65__20660753_resize1080p/20660753_resize1080p_canny_lc_Tree_Transformed_into_Cherry_Blossom.mp4;Replace the tree with a blooming cherry blossom tree covered in pink and white flowers, maintaining the same position and pose within the scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-65__20660753_resize1080p/20660753_resize1080p.mp4_slice246-335.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pixabay_v2_tar__folder_20__173892-850026374_resize1080p/173892-850026374_resize1080p.mp4_slice18-83.mp4;Replace the rainbow layered cake with a chocolate layered cake with white cream and candles, ensuring it appears in the same position and pose within the video scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pixabay_v2_tar__folder_20__173892-850026374_resize1080p/173892-850026374_resize1080p_canny_lc_Rainbow_Layered_Celebration_Cake.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-51__6305194_resize1080p/6305194_resize1080p.mp4_slice154-231.mp4;Remove the colorful butterfly clips and pink headband from the girl's hair, showing her natural curly hair in the same pose and position.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-51__6305194_resize1080p/6305194_resize1080p_canny_lc_Add_Playful_Hair_Accessories.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-52__9517667_resize1080p/9517667_resize1080p_canny_lc_Teenage_Girl_to_Elderly_Woman_Transformation.mp4;Replace the teenage woman with an elderly woman featuring silver hair and gentle wrinkles, keeping the exact position and pose within the scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-52__9517667_resize1080p/9517667_resize1080p.mp4_slice45-110.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_33__ysAcGX1N5jY_0_0to113/ysAcGX1N5jY_0_0to113_canny_lc_Elegant_Evening_Dress.mp4;Replace the woman’s casual outfit with a long, flowing dark blue evening gown, maintaining her pose and position within the scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_33__ysAcGX1N5jY_0_0to113/ysAcGX1N5jY_0_0to113.mp4_slice0-101.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-7__6911341_resize1080p/6911341_resize1080p.mp4_slice7-136.mp4;Replace the icy blue orchid with a creamy white rose, maintaining the identical position and pose within the video.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-7__6911341_resize1080p/6911341_resize1080p_canny_lc_Icy_Blue_Orchid.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-72__6984467_resize1080p/6984467_resize1080p_canny_lc_Transform_Woman_into_an_Elegant_Elderly_Lady.mp4;Replace the woman with an elegant elderly lady with silver hair and wrinkles, keeping her seated in the same pose and position within the video scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-72__6984467_resize1080p/6984467_resize1080p.mp4_slice44-137.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_13__fx9U1G7hLU0_15_106to233/fx9U1G7hLU0_15_106to233.mp4_slice28-101.mp4;Replace the modern minimalist light grey sofa with a green and white plaid sofa, ensuring the same position and pose are maintained.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_13__fx9U1G7hLU0_15_106to233/fx9U1G7hLU0_15_106to233_canny_lc_Modern_Minimalist_Sofa.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-60__7989672_resize1080p/7989672_resize1080p.mp4_slice93-186.mp4;Replace the bamboo laptop with a standard laptop displaying programming code, maintaining the exact position and pose in the video.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-60__7989672_resize1080p/7989672_resize1080p_canny_lc_Eco-Friendly_Bamboo_Laptop.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-34__6290118_resize1080p/6290118_resize1080p_canny_lc_Winter_Coat_to_Vibrant_Red_Dress.mp4;Replace the young woman’s winter coat and gloves with a vibrant red evening dress, maintaining the same position and pose within the video scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-34__6290118_resize1080p/6290118_resize1080p.mp4_slice274-347.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_23__gFu6kb3-eZo_0_0to287/gFu6kb3-eZo_0_0to287_canny_lc_Boy_with_Platinum_Blonde_Hair.mp4;Replace the boy's hair color with platinum blonde, ensuring he maintains the same pose and position within the scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_23__gFu6kb3-eZo_0_0to287/gFu6kb3-eZo_0_0to287.mp4_slice196-269.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_18___7FYw8Bd964_5_0to149/_7FYw8Bd964_5_0to149.mp4_slice16-85.mp4;Replace the dark navy blue business suit, white shirt, and red tie with a beige blazer and light purple shirt, ensuring the same position and pose.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_18___7FYw8Bd964_5_0to149/_7FYw8Bd964_5_0to149_canny_lc_Business_Formal_Attire.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-33__7662729_resize1080p/7662729_resize1080p.mp4_slice246-359.mp4;Replace the senior woman with a mature adult woman with natural dark hair, maintaining the same pose and position.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-33__7662729_resize1080p/7662729_resize1080p_canny_lc_Graceful_Senior_Appearance.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_13__QuJFy6zpxz4_64_399to560/QuJFy6zpxz4_64_399to560.mp4_slice0-93.mp4;Replace the polished marble tabletop with a flat, solid gray table surface with a matte finish, keeping the same position and pose.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_13__QuJFy6zpxz4_64_399to560/QuJFy6zpxz4_64_399to560_canny_lc_Marble_Luxury_Tabletop.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_10__G2hLUD3FGmE_22_36to174/G2hLUD3FGmE_22_36to174.mp4_slice0-117.mp4;Replace the man's beard with a clean-shaven face, keeping the same pose and position in the video.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_10__G2hLUD3FGmE_22_36to174/G2hLUD3FGmE_22_36to174_canny_lc_Add_Neatly_Trimmed_Beard.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-12__7550653_resize1080p/7550653_resize1080p.mp4_slice137-226.mp4;Replace the colorful patchwork armchair with the beige, fluffy armchair, ensuring it appears in the same position and pose.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-12__7550653_resize1080p/7550653_resize1080p_canny_lc_Colorful_Patchwork_Armchair.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_62__bnz5faxOWrk_31_84to419/bnz5faxOWrk_31_84to419.mp4_slice177-298.mp4;Replace the sharp business suit, white shirt, and red tie with a dark blue casual hoodie, maintaining the same position and pose.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_62__bnz5faxOWrk_31_84to419/bnz5faxOWrk_31_84to419_canny_lc_Change_Hoodie_to_Formal_Business_Suit.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_3__WeRDs57zXIs_37_71to221/WeRDs57zXIs_37_71to221_canny_lc_Colorful_Mosaic_Table.mp4;Replace the table with a colorful mosaic tile table maintaining the same position and pose within the video scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_3__WeRDs57zXIs_37_71to221/WeRDs57zXIs_37_71to221.mp4_slice0-129.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-12__7983983_resize1080p/7983983_resize1080p.mp4_slice361-458.mp4;Replace the white marble tabletop with a smooth wooden table surface, maintaining the same position and pose.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-12__7983983_resize1080p/7983983_resize1080p_canny_lc_Marble_Elegance_Upgrade.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-48__7579331_resize1080p/7579331_resize1080p.mp4_slice93-186.mp4;Replace the elderly woman with a middle-aged woman in a white medical coat and blue stethoscope, ensuring she appears in the same position and pose.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-48__7579331_resize1080p/7579331_resize1080p_canny_lc_Transform_to_a_Wise_Elderly_Woman.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-13__7508162_resize1080p/7508162_resize1080p_canny_lc_Vintage_Sunburst_Guitar.mp4;Replace the natural wood acoustic guitar with a vintage sunburst acoustic guitar, ensuring it maintains the same position and pose within the video scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-13__7508162_resize1080p/7508162_resize1080p.mp4_slice120-201.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-76__5716884_resize1080p/5716884_resize1080p_canny_lc_Golden_Autumn_Foliage.mp4;Replace the tall leafy plant with a tall plant featuring golden-yellow and orange autumn leaves, ensuring it maintains the same position and pose within the video scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-76__5716884_resize1080p/5716884_resize1080p.mp4_slice525-634.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_30__txHCdHHck00_24_0to173/txHCdHHck00_24_0to173.mp4_slice30-131.mp4;Replace the elderly man with a middle-aged man in a black polo shirt, maintaining the same pose and position within the scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_30__txHCdHHck00_24_0to173/txHCdHHck00_24_0to173_canny_lc_Age_Transformation_to_Wise_Elderly_Man.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_31__r6uMS4Q5wqo_4_0to372/r6uMS4Q5wqo_4_0to372_canny_lc_Youthful_Transformation.mp4;Replace the woman with a youthful teenager wearing a colorful hoodie, maintaining the same position and pose within the video scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_31__r6uMS4Q5wqo_4_0to372/r6uMS4Q5wqo_4_0to372.mp4_slice24-153.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-70__6636781_resize1080p/6636781_resize1080p.mp4_slice44-169.mp4;Replace the elderly gentleman with a man wearing a beige trench coat and white shirt, ensuring he reappears in the exact same pose and position.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-70__6636781_resize1080p/6636781_resize1080p_canny_lc_Transform_to_Elderly_Gentleman.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-73__12879691_resize1080p/12879691_resize1080p.mp4_slice32-101.mp4;Remove the black sunglasses from the woman, revealing her natural face and hairstyle with the same pose and position.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-73__12879691_resize1080p/12879691_resize1080p_canny_lc_Add_Stylish_Sunglasses.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-43__5983729_resize1080p/5983729_resize1080p.mp4_slice328-433.mp4;Replace the sleek, modern silver laptop with a standard black laptop, ensuring it appears in the same position and pose.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-43__5983729_resize1080p/5983729_resize1080p_canny_lc_Sleek_Silver_Laptop_Upgrade.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_74__dEcU_bg3EGU_0_0to1461/dEcU_bg3EGU_0_0to1461.mp4_slice56-173.mp4;Replace the rustic wooden farmhouse table with a metal kitchen table with bowls and vegetables on it, ensuring it appears in the same position and pose.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_74__dEcU_bg3EGU_0_0to1461/dEcU_bg3EGU_0_0to1461_canny_lc_Rustic_Wooden_Farmhouse_Table.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pixabay_v2_tar__folder_16__153761-806178079_resize1080p/153761-806178079_resize1080p.mp4_slice17-122.mp4;Replace the shiny golden apple with a glossy, bright green apple, ensuring it appears in the same position and pose.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pixabay_v2_tar__folder_16__153761-806178079_resize1080p/153761-806178079_resize1080p_canny_lc_Golden_Apple_Transformation.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-81__16892160_resize1080p/16892160_resize1080p_canny_lc_Colorful_Patchwork_Fabric_Swing.mp4;Replace the tire swing with a colorful patchwork fabric swing, keeping the same position and pose within the video scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-81__16892160_resize1080p/16892160_resize1080p.mp4_slice354-459.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-41__6602722_resize1080p/6602722_resize1080p_canny_lc_Glass_Coffee_Table_with_Metal_Frame.mp4;Replace the wooden table with a modern glass coffee table with a sleek metal frame, ensuring it maintains the same position and pose within the video scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-41__6602722_resize1080p/6602722_resize1080p.mp4_slice75-148.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-14__8171566_resize1080p/8171566_resize1080p.mp4_slice61-174.mp4;Replace the teenage boy wearing a hoodie and jeans with a young boy in a white t-shirt, ensuring he appears in the same seated position and pose.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-14__8171566_resize1080p/8171566_resize1080p_canny_lc_From_Toddler_to_Teenager.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-56__8164415_resize1080p/8164415_resize1080p.mp4_slice57-134.mp4;Replace the cherry tree in full pink blossom with a lush green leafy tree, ensuring it appears in the same position and pose.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-56__8164415_resize1080p/8164415_resize1080p_canny_lc_Blossoming_Cherry_Tree.mp4
