video;prompt;original_video
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_81__apoY-nqqB1I_1_0to878/camera_medium.mp4;Convert the wide shot video to a medium shot, maintaining the original scene context and key subject focus.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_81__apoY-nqqB1I_1_0to878/camera_wide.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_62__OWEaPiW15cg_63_0to1554/camera_wide.mp4;Adjust the close-up footage to a wide shot, expanding the frame to include full environmental context.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_62__OWEaPiW15cg_63_0to1554/camera_close.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-9__5168877_resize1080p/camera_medium.mp4;Transform the close-up video to a medium shot, pulling back to include the primary subject’s core form and immediate surrounding context.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-9__5168877_resize1080p/camera_close.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/ultravideo/clips_short_1920__d8d9405d-133c-4a9a-825d-7f682e270ea3/camera_medium.mp4;Transform the close-up video to a medium shot, pulling back to include the primary subject’s core form and immediate surrounding context.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/ultravideo/clips_short_1920__d8d9405d-133c-4a9a-825d-7f682e270ea3/camera_close.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_26__ZnuEP_64AJ0_13_0to188/camera_close.mp4;Convert the wide shot to a close-up, zooming in on the primary subject without losing visual clarity.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_26__ZnuEP_64AJ0_13_0to188/camera_wide.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_7__jQYEaXXkXPs_14_124to255/camera_wide.mp4;Shift the medium shot to a wide shot, preserving the subject’s position while widening the scene perspective.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_7__jQYEaXXkXPs_14_124to255/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_27__Pv0oaK2NOFk_91_38to237/camera_medium.mp4;Transform the close-up video to a medium shot, pulling back to include the primary subject’s core form and immediate surrounding context.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_27__Pv0oaK2NOFk_91_38to237/camera_close.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_1__aecU53s61Yc_49_39to153/camera_close.mp4;Transform this medium shot into a close-up, emphasizing the primary subject’s key features and core details.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_1__aecU53s61Yc_49_39to153/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-16__13175372_resize1080p/camera_wide.mp4;Adjust the close-up footage to a wide shot, expanding the frame to include full environmental context.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-16__13175372_resize1080p/camera_close.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-83__8716442_resize1080p/camera_medium.mp4;Transform the close-up video to a medium shot, pulling back to include the primary subject’s core form and immediate surrounding context.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-83__8716442_resize1080p/camera_close.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-0__15046349_resize1080p/camera_medium.mp4;Convert the wide shot video to a medium shot, maintaining the original scene context and key subject focus.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-0__15046349_resize1080p/camera_wide.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-7__4561107_resize1080p/camera_close.mp4;Transform this medium shot into a close-up, emphasizing the primary subject’s key features and core details.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-7__4561107_resize1080p/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/all_mixkit__People__mixkit-person-realizes-that-they-no-longer-have-money-in-his-18299/camera_medium.mp4;Transform the close-up video to a medium shot, pulling back to include the primary subject’s core form and immediate surrounding context.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/all_mixkit__People__mixkit-person-realizes-that-they-no-longer-have-money-in-his-18299/camera_close.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-3__20396231_resize1080p/camera_medium.mp4;Convert the wide shot video to a medium shot, maintaining the original scene context and key subject focus.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-3__20396231_resize1080p/camera_wide.mp4
